"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Netherlands,NED,Daryl JANMAAT,Defender,21,0,186,Netherlands - Turkey 07 Sep 2012,22 Jul 1989,Feyenoord Rotterdam ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/319428.png
Netherlands,NED,Jonathan DE GUZMAN,Midfielder,13,0,174,Netherlands - Italy 06 Feb 2013,13 Sep 1987,Swansea City AFC ,WAL,http://img.fifa.com/images/fwc/2014/players/prt-3/298677.png
Netherlands,NED,Robin VAN PERSIE,Forward,91,47,186,Netherlands - Romania 04 Jun 2005,06 Aug 1983,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/217315.png
Netherlands,NED,Wesley SNEIJDER,Midfielder,105,27,171,Netherlands - Portugal 30 Apr 2003,09 Jun 1984,Galatasaray SK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/215002.png
Netherlands,NED,Arjen ROBBEN,Forward,82,26,180,Netherlands - Portugal 30 Apr 2003,23 Jan 1984,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/184616.png
Netherlands,NED,Paul VERHAEGH,Defender,3,0,178,Portugal - Netherlands 14 Aug 2013,01 Sep 1983,FC Augsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/254091.png
Netherlands,NED,Joel VELTMAN,Defender,4,0,183,Netherlands - Colombia 19 Nov 2013,15 Jan 1992,AFC Ajax ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/313051.png
Netherlands,NED,Terence KONGOLO,Defender,2,0,183,Netherlands - Ecuador 17 May 2014,14 Feb 1994,Feyenoord Rotterdam ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/336085.png
Netherlands,NED,Dirk KUYT,Forward,103,24,184,Netherlands - Liechtenstein 03 Sep 2004,22 Jul 1980,Fenerbahce SK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/217313.png
Netherlands,NED,Jordy CLASIE,Midfielder,10,0,169,Netherlands - Turkey 07 Sep 2012,27 Jun 1991,Feyenoord Rotterdam ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/358732.png
Netherlands,NED,Jeremain LENS,Forward,26,8,178,Ukraine - Netherlands 11 Aug 2010,24 Nov 1987,FC Dynamo Kyiv ,UKR,http://img.fifa.com/images/fwc/2014/players/prt-3/298681.png
Netherlands,NED,Leroy FER,Midfielder,7,1,188,Ukraine - Netherlands 11 Aug 2010,05 Jan 1990,Norwich City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/319436.png
Netherlands,NED,Klaas Jan HUNTELAAR,Forward,65,35,187,Republic of Ireland - Netherlands 16 Aug 2006,12 Aug 1983,FC Schalke 04 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/184615.png
Netherlands,NED,Georginio WIJNALDUM,Midfielder,12,2,175,Netherlands - San Marino 02 Sep 2011,11 Nov 1990,PSV Eindhoven ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/319438.png
Netherlands,NED,Memphis DEPAY,Forward,10,2,178,Turkey - Netherlands 15 Oct 2013,13 Feb 1994,PSV Eindhoven ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/336098.png
Netherlands,NED,Michel VORM,Goalkeeper,15,0,183,Netherlands - Sweden 19 Nov 2008,20 Oct 1983,Swansea City AFC ,WAL,http://img.fifa.com/images/fwc/2014/players/prt-3/254089.png
Netherlands,NED,Tim KRUL,Goalkeeper,6,0,193,Brazil - Netherlands 04 Jun 2011,03 Apr 1988,Newcastle United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/232760.png
Portugal,POR,EDUARDO,Goalkeeper,35,0,187,Portugal - Finland 11 Feb 2009,19 Sep 1982,Sporting Braga ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/299066.png
Portugal,POR,Bruno ALVES,Defender,75,10,187,Kuwait - Portugal 05 Jun 2007,27 Nov 1981,Fenerbahce SK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/210213.png
Portugal,POR,PEPE,Defender,60,3,186,Portugal - Finland 21 Nov 2007,26 Feb 1983,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/275931.png
Portugal,POR,Miguel VELOSO,Midfielder,52,2,181,Azerbaijan - Portugal 13 Oct 2007,11 May 1986,FC Dynamo Kyiv ,UKR,http://img.fifa.com/images/fwc/2014/players/prt-3/200201.png
Portugal,POR,Fabio COENTRAO,Defender,46,4,181,Portugal - Bosnia and Herzegovina 14 Nov 2009,11 Mar 1988,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/269784.png
Portugal,POR,WILLIAM,Midfielder,6,0,185,Sweden - Portugal 19 Nov 2013,07 Apr 1992,Sporting CP ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/376349.png
Portugal,POR,CRISTIANO RONALDO,Forward,114,50,185,Portugal - Kazakhstan 20 Aug 2003,05 Feb 1985,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/201200.png
Portugal,POR,Joao MOUTINHO,Midfielder,71,2,170,Portugal - Egypt 17 Aug 2005,08 Sep 1986,AS Monaco ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/200199.png
Portugal,POR,Hugo ALMEIDA,Forward,56,19,193,Portugal - England 18 Feb 2004,23 May 1984,Besiktas JK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/214410.png
Portugal,POR,VIEIRINHA,Forward,10,1,170,Israel - Portugal 22 Mar 2013,24 Jan 1986,VfL Wolfsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/200205.png
Portugal,POR,EDER,Forward,11,0,190,Portugal - Azerbaijan 11 Sep 2012,22 Dec 1987,Sporting Braga ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/359436.png
Portugal,POR,Rui PATRICIO,Goalkeeper,31,0,189,Portugal - Spain 17 Nov 2010,15 Feb 1988,Sporting CP ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/269768.png
Portugal,POR,Ricardo COSTA,Defender,21,1,183,Republic of Ireland - Portugal 09 Feb 2005,16 May 1981,Valencia CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/210212.png
Portugal,POR,Luis NETO,Defender,9,0,186,Portugal - Ecuador 06 Feb 2013,26 May 1988,FC Zenit St. Petersburg ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/359428.png
Portugal,POR,RAFA,Forward,3,0,173,Portugal - Cameroon 05 Mar 2014,17 May 1993,Sporting Braga ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/368708.png
Portugal,POR,Raul MEIRELES,Midfielder,76,10,179,Portugal - Kazakhstan 15 Nov 2006,17 Mar 1983,Fenerbahce SK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/210214.png
Portugal,POR,NANI,Forward,78,15,175,Denmark - Portugal 01 Sep 2006,17 Nov 1986,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/254167.png
Portugal,POR,VARELA,Forward,26,5,180,-,02 Feb 1985,FC Porto ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/254166.png
Portugal,POR,Andre ALMEIDA,Defender,7,0,185,Portugal - Israel 11 Oct 2013,10 Sep 1990,SL Benfica ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/375453.png
Portugal,POR,Ruben AMORIM,Midfielder,14,0,180,Cte d'Ivoire - Portugal 15 Jun 2010,27 Jan 1985,SL Benfica ,POR,http://img.fifa.com/images/fwc/2014/players/prt-3/299064.png
Portugal,POR,Joao PEREIRA,Defender,39,0,172,Portugal - Denmark 08 Oct 2010,25 Feb 1984,Valencia CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/214407.png
Portugal,POR,BETO,Goalkeeper,9,0,183,Estonia - Portugal 10 Jun 2009,01 May 1982,Sevilla FC ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/214404.png
Portugal,POR,Helder POSTIGA,Forward,70,27,182,Italy - Portugal 12 Feb 2003,02 Aug 1982,SS Lazio ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/187203.png
Russia,RUS,Igor AKINFEEV,Goalkeeper,72,0,185,Norway - Russia 28 Apr 2004,08 Apr 1986,CSKA Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/215017.png
Russia,RUS,Aleksei KOZLOV,Defender,13,0,185,Portugal - Russia 07 Jun 2013,25 Dec 1986,FC Dynamo Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/369983.png
Russia,RUS,Georgy SHCHENNIKOV,Defender,4,0,179,Russia - Cte d'Ivoire 15 Aug 2012,27 Apr 1991,CSKA Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/358869.png
Russia,RUS,Sergey IGNASHEVICH,Defender,99,5,186,Russia - Sweden 21 Aug 2002,14 Jul 1979,CSKA Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/186787.png
Russia,RUS,Andrey SEMENOV,Defender,1,0,191,Norway - Russia 31 May 2014,24 Mar 1989,FC Terek Grozny ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/379985.png
Russia,RUS,Maksim KANUNNIKOV,Forward,4,0,184,Russia - Slovakia 26 May 2014,14 Jul 1991,FK Amkar Perm ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/358885.png
Russia,RUS,Igor DENISOV,Midfielder,46,0,176,Germany - Russia 11 Oct 2008,17 May 1984,FC Dynamo Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/216438.png
Russia,RUS,Denis GLUSHAKOV,Midfielder,29,3,182,Qatar - Russia 29 Mar 2011,27 Jan 1987,FC Spartak Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/358049.png
Russia,RUS,Alexander KOKORIN,Forward,25,6,182,Greece - Russia 11 Nov 2011,19 Mar 1991,FC Dynamo Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/358048.png
Russia,RUS,Alan DZAGOEV,Midfielder,36,8,178,Germany - Russia 11 Oct 2008,17 Jun 1990,CSKA Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/302539.png
Russia,RUS,Aleksandr KERZHAKOV,Forward,84,26,175,Estonia - Russia 27 Mar 2002,27 Nov 1982,FC Zenit St. Petersburg ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/186808.png
Russia,RUS,Yury LODYGIN,Goalkeeper,3,0,186,Russia - Korea Republic 19 Nov 2013,26 May 1990,FC Zenit St. Petersburg ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/367343.png
Russia,RUS,Vladimir GRANAT,Defender,5,0,184,Russia - Luxembourg 06 Sep 2013,22 May 1987,FC Dynamo Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/358046.png
Russia,RUS,Vasily BEREZUTSKIY,Defender,81,4,188,Switzerland - Russia 07 Jun 2003,20 Jun 1982,CSKA Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/186793.png
Russia,RUS,Pavel MOGILEVETC,Midfielder,1,0,186,Russia - Slovakia 26 May 2014,25 Jan 1993,FC Rubin Kazan ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/379987.png
Russia,RUS,Sergey RYZHIKOV,Goalkeeper,1,0,192,Qatar - Russia 29 Mar 2011,19 Sep 1980,FC Rubin Kazan ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/367333.png
Russia,RUS,Oleg SHATOV,Midfielder,10,2,176,Iceland - Russia 06 Feb 2013,29 Jul 1990,FC Zenit St. Petersburg ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/358891.png
Russia,RUS,Yury ZHIRKOV,Forward,62,1,180,Italy - Russia 09 Feb 2005,20 Aug 1983,FC Dynamo Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/216432.png
Russia,RUS,Alexander SAMEDOV,Forward,20,3,178,Slovakia - Russia 07 Oct 2011,19 Jul 1984,FC Lokomotiv Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/216435.png
Russia,RUS,Victor FAYZULIN,Midfielder,22,4,176,Russia - Cte d'Ivoire 15 Aug 2012,22 Apr 1986,FC Zenit St. Petersburg ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/300235.png
Russia,RUS,Alexey IONOV,Forward,5,0,178,Qatar - Russia 29 Mar 2011,18 Feb 1989,FC Dynamo Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/358881.png
Russia,RUS,Andrey ESHCHENKO,Defender,14,0,177,Israel - Russia 11 Sep 2012,09 Feb 1984,FC Anzhi Makhachkala ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/358893.png
Russia,RUS,Dmitry KOMBAROV,Defender,26,1,182,Denmark - Russia 29 Feb 2012,22 Jan 1987,FC Spartak Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/300237.png
Spain,ESP,Iker CASILLAS,Goalkeeper,156,0,185,Sweden - Spain 03 Jun 2000,20 May 1981,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/176644.png
Spain,ESP,Raul ALBIOL,Defender,47,0,187,Denmark - Spain 13 Oct 2007,04 Sep 1985,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/216820.png
Spain,ESP,Gerard PIQUE,Defender,61,4,192,Spain - England 11 Feb 2009,02 Feb 1987,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/216973.png
Spain,ESP,Javi MARTINEZ,Midfielder,18,0,190,Spain - Saudi Arabia 29 May 2010,02 Sep 1988,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/270714.png
Spain,ESP,JUANFRAN,Defender,9,1,180,Spain - Serbia 26 May 2012,09 Jan 1985,Atletico Madrid ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/207906.png
Spain,ESP,Andres INIESTA,Midfielder,99,12,170,Spain - Russia 27 May 2006,11 May 1984,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/183857.png
Spain,ESP,David VILLA,Forward,97,59,175,Spain - San Marino 09 Feb 2005,03 Dec 1981,Atletico Madrid ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/229884.png
Spain,ESP,Xavi HERNANDEZ,Midfielder,133,12,170,Spain - Netherlands 15 Nov 2000,25 Jan 1980,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/177855.png
Spain,ESP,Fernando TORRES,Forward,110,37,186,Portugal - Spain 06 Sep 2003,20 Mar 1984,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/183864.png
Spain,ESP,Cesc FABREGAS,Midfielder,91,13,175,Spain - Cte d'Ivoire 01 Mar 2006,04 May 1987,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/200179.png
Spain,ESP,Pedro RODRIGUEZ,Forward,42,14,169,Spain - Saudi Arabia 29 May 2010,28 Jul 1987,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/318601.png
Spain,ESP,David DE GEA,Goalkeeper,1,0,190,El Salvador - Spain 07 Jun 2014,07 Nov 1990,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/269859.png
Spain,ESP,Juan MATA,Forward,34,10,171,Spain - Turkey 28 Mar 2009,28 Apr 1988,Manchester United FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/267811.png
Spain,ESP,Xabi ALONSO,Midfielder,113,16,183,Spain - Ecuador 30 Apr 2003,25 Nov 1981,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/207528.png
Spain,ESP,Sergio RAMOS,Defender,119,9,183,Spain - China PR 26 Mar 2005,30 Mar 1986,Real Madrid CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/216814.png
Spain,ESP,Sergio BUSQUETS,Midfielder,68,0,189,Turkey - Spain 01 Apr 2009,16 Jul 1988,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/303034.png
Spain,ESP,KOKE,Midfielder,10,0,178,Ecuador - Spain 14 Aug 2013,08 Jan 1992,Atletico Madrid ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/313410.png
Spain,ESP,Jordi ALBA,Defender,29,5,170,Spain - Scotland 11 Oct 2011,21 Mar 1989,FC Barcelona ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/306954.png
Spain,ESP,Diego COSTA,Forward,6,0,188,Spain - Italy 05 Mar 2014,07 Oct 1988,Atletico Madrid ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/367920.png
Spain,ESP,Santi CAZORLA,Midfielder,66,11,169,Spain - Peru 31 May 2008,13 Dec 1984,Arsenal FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/297705.png
Spain,ESP,David SILVA,Midfielder,83,20,170,Spain - Romania 15 Nov 2006,08 Jan 1986,Manchester City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/200176.png
Spain,ESP,Cesar AZPILICUETA,Midfielder,8,0,178,Spain - Uruguay 06 Feb 2013,28 Aug 1989,Chelsea FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/270948.png
Spain,ESP,Pepe REINA,Goalkeeper,33,0,187,Spain - Uruguay 17 Aug 2005,31 Aug 1982,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/175413.png
Switzerland,SUI,Diego BENAGLIO,Goalkeeper,61,0,195,Switzerland - China PR 03 Jun 2006,08 Sep 1983,VfL Wolfsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/196633.png
Switzerland,SUI,Stephan LICHTSTEINER,Defender,67,5,180,Switzerland - Brazil 15 Nov 2006,16 Jan 1984,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/196605.png
Switzerland,SUI,Reto ZIEGLER,Defender,35,1,183,France - Switzerland 26 Mar 2005,16 Jan 1986,US Sassuolo ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/216642.png
Switzerland,SUI,Philippe SENDEROS,Defender,54,5,190,France - Switzerland 26 Mar 2005,14 Feb 1985,Valencia CF ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/209989.png
Switzerland,SUI,Steve VON BERGEN,Defender,43,0,183,Switzerland - Costa Rica 06 Sep 2006,10 Jun 1983,BSC Young Boys ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/196620.png
Switzerland,SUI,Michael LANG,Defender,7,1,185,Switzerland - Brazil 14 Aug 2013,08 Feb 1991,Grasshopper Club ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/356407.png
Switzerland,SUI,Tranquillo BARNETTA,Midfielder,74,10,178,Switzerland - Republic of Ireland 08 Sep 2004,22 May 1985,Eintracht Frankfurt ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/209979.png
Switzerland,SUI,Gokhan INLER,Midfielder,77,6,181,Switzerland - Venezuela 02 Sep 2006,27 Jun 1984,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/261029.png
Switzerland,SUI,Haris SEFEROVIC,Forward,15,2,187,Greece - Switzerland 06 Feb 2013,22 Feb 1992,Real Sociedad ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/311554.png
Switzerland,SUI,Granit XHAKA,Midfielder,30,5,183,England - Switzerland 04 Jun 2011,27 Sep 1992,Borussia Moenchengladbach ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/311558.png
Switzerland,SUI,Valon BEHRAMI,Midfielder,52,2,184,Switzerland - France 08 Oct 2005,19 Apr 1985,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/216627.png
Switzerland,SUI,Yann SOMMER,Goalkeeper,6,0,183,Switzerland - Romania 30 May 2012,17 Dec 1988,FC Basel ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/319460.png
Switzerland,SUI,Ricardo RODRIGUEZ,Defender,25,0,180,Wales - Switzerland 07 Oct 2011,25 Aug 1992,VfL Wolfsburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/313559.png
Switzerland,SUI,Valentin STOCKER,Midfielder,25,3,179,Switzerland - Cyprus 20 Aug 2008,12 Apr 1989,FC Basel ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/297331.png
Switzerland,SUI,Blerim DZEMAILI,Midfielder,37,2,179,Scotland - Switzerland 01 Mar 2006,12 Apr 1986,SSC Napoli ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/216646.png
Switzerland,SUI,Gelson FERNANDES,Midfielder,48,2,179,Switzerland - Netherlands 22 Aug 2007,02 Sep 1986,SC Freiburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/216650.png
Switzerland,SUI,Mario GAVRANOVIC,Forward,11,4,175,Bulgaria - Switzerland 26 Mar 2011,24 Nov 1989,FC Zuerich ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/319470.png
Switzerland,SUI,Admir MEHMEDI,Forward,25,2,183,England - Switzerland 04 Jun 2011,16 Mar 1991,SC Freiburg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/356409.png
Switzerland,SUI,Josip DRMIC,Forward,11,3,182,Switzerland - Albania 11 Sep 2012,08 Aug 1992,1. FC Nuernberg ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/356399.png
Switzerland,SUI,Johan DJOUROU,Defender,48,1,192,Scotland - Switzerland 01 Mar 2006,18 Jan 1987,Hamburger SV ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/216645.png
Switzerland,SUI,Roman BUERKI,Goalkeeper,0,0,188,-,14 Nov 1990,Grasshopper Club ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/356676.png
Switzerland,SUI,Fabian SCHAER,Defender,8,3,186,Switzerland - Brazil 14 Aug 2013,20 Dec 1991,FC Basel ,SUI,http://img.fifa.com/images/fwc/2014/players/prt-3/356411.png
Switzerland,SUI,Xherdan SHAQIRI,Midfielder,37,12,169,Switzerland - Uruguay 03 Mar 2010,10 Oct 1991,FC Bayern Muenchen ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/321653.png
Costa Rica,CRC,Keylor NAVAS,Goalkeeper,58,0,184,Suriname - Costa Rica 11 Oct 2008,15 Dec 1986,Levante UD ,ESP,http://img.fifa.com/images/fwc/2014/players/prt-3/199175.png
Costa Rica,CRC,Johnny ACOSTA,Defender,28,1,175,Costa Rica - Argentina 29 Mar 2011,21 Jul 1983,LD Alajuelense ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/339447.png
Costa Rica,CRC,Giancarlo GONZALEZ,Defender,40,2,192,Slovakia - Costa Rica 05 Jun 2010,08 Feb 1988,Columbus Crew ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/268821.png
Costa Rica,CRC,Michael UMANA,Defender,86,1,180,Costa Rica - Nicaragua 04 Jun 2004,16 Jul 1982,Deportivo Saprissa ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/208120.png
Costa Rica,CRC,Celso BORGES,Midfielder,67,14,184,Costa Rica - Grenada 21 Jun 2008,27 May 1988,AIK Solna ,SWE,http://img.fifa.com/images/fwc/2014/players/prt-3/236530.png
Costa Rica,CRC,Oscar DUARTE,Defender,15,1,184,Jamaica - Costa Rica 17 Nov 2010,03 Jun 1989,Club Brugge KV ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/312987.png
Costa Rica,CRC,Christian BOLANOS,Midfielder,60,2,178,Norway - Costa Rica 24 May 2005,17 May 1984,FC Kobenhavn ,DEN,http://img.fifa.com/images/fwc/2014/players/prt-3/183796.png
Costa Rica,CRC,Dave MYRIE,Defender,12,0,185,-,01 Jun 1988,CS Herediano ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/236533.png
Costa Rica,CRC,Joel CAMPBELL,Forward,38,10,178,Costa Rica - Cuba 05 Jun 2011,26 Jun 1992,Olympiacos Piraeus FC ,GRE,http://img.fifa.com/images/fwc/2014/players/prt-3/307529.png
Costa Rica,CRC,Bryan RUIZ,Forward,68,15,187,China PR - Costa Rica 19 Jun 2005,18 Aug 1985,PSV Eindhoven ,NED,http://img.fifa.com/images/fwc/2014/players/prt-3/214876.png
Costa Rica,CRC,Michael BARRANTES,Midfielder,52,4,177,Costa Rica - Trinidad and Tobago 04 Feb 2007,04 Oct 1983,Aalesunds FK ,NOR,http://img.fifa.com/images/fwc/2014/players/prt-3/271182.png
Costa Rica,CRC,Waylon FRANCIS,Defender,1,0,175,Costa Rica - Nicaragua 20 Jan 2013,20 Sep 1990,Columbus Crew ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/379974.png
Costa Rica,CRC,Oscar GRANADOS,Midfielder,11,0,183,Costa Rica - Panama 23 Jan 2009,25 Oct 1985,CS Herediano ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/301165.png
Costa Rica,CRC,Randall BRENES,Forward,43,8,170,Costa Rica - Cuba 09 Jul 2005,13 Aug 1983,CSD Cartagines ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/237058.png
Costa Rica,CRC,Junior DIAZ,Defender,67,1,185,Costa Rica - China PR 07 Sep 2003,12 Sep 1983,FSV Mainz 05 ,GER,http://img.fifa.com/images/fwc/2014/players/prt-3/209940.png
Costa Rica,CRC,Cristian GAMBOA,Defender,30,1,175,Argentina - Costa Rica 26 Jan 2010,24 Oct 1989,Rosenborg BK ,NOR,http://img.fifa.com/images/fwc/2014/players/prt-3/307026.png
Costa Rica,CRC,Yeltsin TEJEDA,Midfielder,27,0,179,Cuba - Costa Rica 11 Dec 2011,17 Mar 1992,Deportivo Saprissa ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/307541.png
Costa Rica,CRC,Patrick PEMBERTON,Goalkeeper,21,0,178,Jamaica - Costa Rica 05 Sep 2010,24 Apr 1982,LD Alajuelense ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/214874.png
Costa Rica,CRC,Roy MILLER,Defender,48,1,189,Costa Rica - Ecuador 16 Feb 2005,24 Nov 1984,New York Red Bulls ,USA,http://img.fifa.com/images/fwc/2014/players/prt-3/183798.png
Costa Rica,CRC,Diego CALVO,Midfielder,10,1,178,USA - Costa Rica 22 Mar 2013,25 Mar 1991,Valerenga IF ,NOR,http://img.fifa.com/images/fwc/2014/players/prt-3/336837.png
Costa Rica,CRC,Marcos URENA,Forward,28,8,179,Venezuela - Costa Rica 13 May 2009,05 Mar 1990,Kuban Krasnodar ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/270144.png
Costa Rica,CRC,Jose CUBERO,Midfielder,40,2,178,Paraguay - Costa Rica 11 Aug 2010,14 Feb 1987,CS Herediano ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/268822.png
Costa Rica,CRC,Daniel CAMBRONERO,Goalkeeper,2,0,181,Venezuela - Costa Rica 13 May 2009,08 Jan 1986,CS Herediano ,CRC,http://img.fifa.com/images/fwc/2014/players/prt-3/199160.png
Honduras,HON,Luis LOPEZ,Goalkeeper,0,0,182,-,13 Sep 1993,Real Espana ,HON,http://img.fifa.com/images/fwc/2014/players/prt-3/380009.png
Honduras,HON,Osman CHAVEZ,Defender,55,0,187,Honduras - Paraguay 06 Feb 2008,29 Jul 1984,Qingdao Jonoon FC ,CHN,http://img.fifa.com/images/fwc/2014/players/prt-3/297230.png
Honduras,HON,Maynor FIGUEROA,Defender,107,3,184,Honduras - Argentina 31 Jan 2003,02 May 1983,Hull City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/213879.png
