"country, country abbreviation, name, role, caps, goals, length, first match, birthday, club, country of club abbreviation"
Ghana,GHA,Mohammed RABIU,Midfielder,20,0,189,Brazil - Ghana 05 Sep 2011,31 Dec 1989,Kuban Krasnodar ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/311850.png
Ghana,GHA,Majeed WARIS,Forward,14,3,172,Chile - Ghana 29 Feb 2012,19 Sep 1991,Valenciennes FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/367393.png
Ghana,GHA,Jonathan MENSAH,Defender,29,1,188,Ghana - Malawi 05 Jan 2010,13 Jul 1990,Evian TG FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/306634.png
Ghana,GHA,Kwadwo ASAMOAH,Midfielder,65,4,178,Ghana - Cte d'Ivoire 09 Feb 2008,09 Dec 1988,Juventus FC ,ITA,http://img.fifa.com/images/fwc/2014/players/prt-3/294619.png
Ghana,GHA,John BOYE,Defender,33,3,185,Ghana - Gabon 22 Jun 2008,23 Apr 1987,Stade Rennais FC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/298582.png
Ghana,GHA,Mubarak WAKASO,Midfielder,19,7,171,Malawi - Ghana 13 Oct 2012,25 Jul 1990,FC Rubin Kazan ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/235097.png
Ghana,GHA,Harrison AFFUL,Defender,43,0,170,Ghana - Cte d'Ivoire 09 Feb 2008,24 Jul 1986,Esperance Sportive de Tunis ,TUN,http://img.fifa.com/images/fwc/2014/players/prt-3/294626.png
Nigeria,NGA,Vincent ENYEAMA,Goalkeeper,95,0,185,Nigeria - Kenya 04 May 2002,29 Aug 1982,Lille OSC ,FRA,http://img.fifa.com/images/fwc/2014/players/prt-3/189300.png
Nigeria,NGA,Joseph YOBO,Defender,100,7,185,Zambia - Nigeria 24 Mar 2001,06 Sep 1980,Norwich City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/178403.png
Nigeria,NGA,Ejike UZOENYI,Midfielder,21,3,168,Nigeria - Angola 11 Jan 2012,23 Mar 1992,Enugu Rangers FC ,NGA,http://img.fifa.com/images/fwc/2014/players/prt-3/356713.png
Nigeria,NGA,Ruben GABRIEL,Midfielder,12,0,184,Nigeria - Congo DR 03 Mar 2010,25 Sep 1990,KV Waasland-Beveren ,BEL,http://img.fifa.com/images/fwc/2014/players/prt-3/356710.png
Nigeria,NGA,Efe AMBROSE,Defender,41,1,190,Nigeria - Sudan 09 Jan 2008,18 Oct 1988,Celtic FC ,SCO,http://img.fifa.com/images/fwc/2014/players/prt-3/273291.png
Nigeria,NGA,Azubuike EGWUEKWE,Defender,31,1,195,Nigeria - Angola 11 Jan 2012,16 Jul 1989,Warri Wolves FC ,NGA,http://img.fifa.com/images/fwc/2014/players/prt-3/356711.png
Nigeria,NGA,Ahmed MUSA,Forward,41,7,176,Nigeria - Madagascar 05 Sep 2010,14 Oct 1992,CSKA Moscow ,RUS,http://img.fifa.com/images/fwc/2014/players/prt-3/344714.png
Nigeria,NGA,Peter ODEMWINGIE,Forward,65,11,181,Nigeria - Kenya 04 May 2002,15 Jul 1981,Stoke City FC ,ENG,http://img.fifa.com/images/fwc/2014/players/prt-3/214228.png
Nigeria,NGA,Emmanuel EMENIKE,Forward,27,9,182,Nigeria - Sierra Leone 09 Feb 2011,10 May 1987,Fenerbahce SK ,TUR,http://img.fifa.com/images/fwc/2014/players/prt-3/364763.png
