Cte d'Ivoire,CIV,Africa,Souleymane BAMBA,Defender,46,2,190,Israel - Cte d'Ivoire 19 Nov 2008,13 Jan 1985,Trabzonspor ,Turkey,TUR,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/207946.png
Cte d'Ivoire,CIV,Africa,Sayouba MANDE,Goalkeeper,1,0,193,Belgium - Cte d'Ivoire 05 Mar 2014,15 Jun 1993,Stabaek IF ,Norway,NOR,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/380004.png
Ghana,GHA,Africa,Stephen ADAMS,Goalkeeper,6,0,186,Ghana - Congo 13 Jan 2014,28 Sep 1989,Aduana Stars ,Ghana,GHA,Africa,http://img.fifa.com/images/fwc/2014/players/prt-3/323574.png
Ghana,GHA,Africa,Samuel INKOOM,Defender,46,1,179,Ghana - Tunisia 19 Nov 2008,01 Jun 1989,FC Platanias ,Greece,GRE,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/238381.png
Ghana,GHA,Africa,Asamoah GYAN,Forward,81,41,180,Ghana - Somalia 19 Nov 2003,22 Nov 1985,Al Ain FC ,United Arab Emirates,UAE,Asia,http://img.fifa.com/images/fwc/2014/players/prt-3/208353.png
Ghana,GHA,Africa,Daniel OPARE,Defender,17,0,172,England - Ghana 29 Mar 2011,18 Oct 1990,Standard Liege ,Belgium,BEL,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/269071.png
Ghana,GHA,Africa,Michael ESSIEN,Midfielder,58,9,177,Egypt - Ghana 04 Jan 2002,03 Dec 1982,AC Milan ,Italy,ITA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/175524.png
Ghana,GHA,Africa,Acquah AFRIYIE,Midfielder,6,1,179,Chile - Ghana 29 Feb 2012,05 Jan 1992,Parma FC ,Italy,ITA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/379972.png
Ghana,GHA,Africa,Christian ATSU,Midfielder,26,4,172,Ghana - Lesotho 01 Jun 2012,10 Jan 1992,Vitesse Arnheim ,Netherlands,NED,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/355997.png
Ghana,GHA,Africa,Emmanuel BADU,Midfielder,50,7,173,Lesotho - Ghana 08 Jun 2008,02 Dec 1990,Udinese Calcio ,Italy,ITA,Europe,http://img.fifa.com/images/fwc/2014/players/prt-3/274946.png
